"POINT (-122.4194 37.7749)",Target | San Francisco Target
WKT,Description
"POINT (-122.4192862 37.7749000)",N 10m @03:00 (0MOA)
"POINT (-122.4192867 37.7749078)",N 10m @03:05 (300MOA)
"POINT (-122.4192880 37.7749156)",N 10m @03:10 (600MOA)
"POINT (-122.4192901 37.7749233)",NNE 10m @04:15 (900MOA)
"POINT (-122.4192931 37.7749308)",NNE 10m @04:20 (1200MOA)
"POINT (-122.4192969 37.7749380)",NNE 10m @04:25 (1500MOA)
"POINT (-122.4193015 37.7749450)",NNE 10m @04:30 (1800MOA)
"POINT (-122.4193068 37.7749516)",NE 10m @04:35 (2100MOA)
"POINT (-122.4193128 37.7749578)",NE 10m @04:40 (2400MOA)
"POINT (-122.4193195 37.7749636)",NE 10m @05:45 (2700MOA)
"POINT (-122.4193269 37.7749689)",NE 10m @05:50 (3000MOA)
"POINT (-122.4193347 37.7749737)",NE 10m @05:55 (3300MOA)
"POINT (-122.4193431 37.7749779)",ENE 10m @05:00 (3600MOA)
"POINT (-122.4193519 37.7749815)",ENE 10m @05:05 (3900MOA)
"POINT (-122.4193611 37.7749845)",ENE 10m @05:10 (4200MOA)
"POINT (-122.4193706 37.7749869)",ENE 10m @06:15 (4500MOA)
"POINT (-122.4193802 37.7749886)",E 10m @06:20 (4800MOA)
"POINT (-122.4193901 37.7749896)",E 10m @06:25 (5100MOA)
"POINT (-122.4194000 37.7749899)",E 10m @06:30 (5400MOA)
"POINT (-122.4194099 37.7749896)",E 10m @06:35 (5700MOA)
"POINT (-122.4194198 37.7749886)",E 10m @06:40 (6000MOA)
"POINT (-122.4194294 37.7749869)",ESE 10m @07:45 (6300MOA)
"POINT (-122.4194389 37.7749845)",ESE 10m @07:50 (6600MOA)
"POINT (-122.4194481 37.7749815)",ESE 10m @07:55 (6900MOA)
"POINT (-122.4194569 37.7749779)",ESE 10m @07:00 (7200MOA)
"POINT (-122.4194653 37.7749737)",SE 10m @07:05 (7500MOA)
"POINT (-122.4194731 37.7749689)",SE 10m @07:10 (7800MOA)
"POINT (-122.4194805 37.7749636)",SE 10m @08:15 (8100MOA)
"POINT (-122.4194872 37.7749578)",SE 10m @08:20 (8400MOA)
"POINT (-122.4194932 37.7749516)",SE 10m @08:25 (8700MOA)
"POINT (-122.4194985 37.7749450)",SSE 10m @08:30 (9000MOA)
"POINT (-122.4195031 37.7749380)",SSE 10m @08:35 (9300MOA)
"POINT (-122.4195069 37.7749308)",SSE 10m @08:40 (9600MOA)
"POINT (-122.4195099 37.7749233)",SSE 10m @09:45 (9900MOA)
"POINT (-122.4195120 37.7749156)",S 10m @09:50 (10200MOA)
"POINT (-122.4195133 37.7749078)",S 10m @09:55 (10500MOA)
"POINT (-122.4195138 37.7749000)",S 10m @09:00 (10800MOA)
"POINT (-122.4195133 37.7748922)",S 10m @09:05 (11100MOA)
"POINT (-122.4195120 37.7748844)",S 10m @09:10 (11400MOA)
"POINT (-122.4195099 37.7748767)",SSW 10m @10:15 (11700MOA)
"POINT (-122.4195069 37.7748692)",SSW 10m @10:20 (12000MOA)
"POINT (-122.4195031 37.7748620)",SSW 10m @10:25 (12300MOA)
"POINT (-122.4194985 37.7748550)",SSW 10m @10:30 (12600MOA)
"POINT (-122.4194932 37.7748484)",SW 10m @10:35 (12900MOA)
"POINT (-122.4194872 37.7748422)",SW 10m @10:40 (13200MOA)
"POINT (-122.4194805 37.7748364)",SW 10m @11:45 (13500MOA)
"POINT (-122.4194731 37.7748311)",SW 10m @11:50 (13800MOA)
"POINT (-122.4194653 37.7748263)",SW 10m @11:55 (14100MOA)
"POINT (-122.4194569 37.7748221)",WSW 10m @11:00 (14400MOA)
"POINT (-122.4194481 37.7748185)",WSW 10m @11:05 (14700MOA)
"POINT (-122.4194389 37.7748155)",WSW 10m @11:10 (15000MOA)
"POINT (-122.4194294 37.7748131)",WSW 10m @12:15 (15300MOA)
"POINT (-122.4194198 37.7748114)",W 10m @12:20 (15600MOA)
"POINT (-122.4194099 37.7748104)",W 10m @12:25 (15900MOA)
"POINT (-122.4194000 37.7748101)",W 10m @12:30 (16200MOA)
"POINT (-122.4193901 37.7748104)",W 10m @12:35 (16500MOA)
"POINT (-122.4193802 37.7748114)",W 10m @12:40 (16800MOA)
"POINT (-122.4193706 37.7748131)",WNW 10m @01:45 (17100MOA)
"POINT (-122.4193611 37.7748155)",WNW 10m @01:50 (17400MOA)
"POINT (-122.4193519 37.7748185)",WNW 10m @01:55 (17700MOA)
"POINT (-122.4193431 37.7748221)",WNW 10m @01:00 (18000MOA)
"POINT (-122.4193347 37.7748263)",NW 10m @01:05 (18300MOA)
"POINT (-122.4193269 37.7748311)",NW 10m @01:10 (18600MOA)
"POINT (-122.4193195 37.7748364)",NW 10m @02:15 (18900MOA)
"POINT (-122.4193128 37.7748422)",NW 10m @02:20 (19200MOA)
"POINT (-122.4193068 37.7748484)",NW 10m @02:25 (19500MOA)
"POINT (-122.4193015 37.7748550)",NNW 10m @02:30 (19800MOA)
"POINT (-122.4192969 37.7748620)",NNW 10m @02:35 (20100MOA)
"POINT (-122.4192931 37.7748692)",NNW 10m @02:40 (20400MOA)
"POINT (-122.4192901 37.7748767)",NNW 10m @03:45 (20700MOA)
"POINT (-122.4192880 37.7748844)",N 10m @03:50 (21000MOA)
"POINT (-122.4192867 37.7748922)",N 10m @03:55 (21300MOA)
"POINT (-122.4191724 37.7749000)",N 20m @03:00 (0MOA)
"POINT (-122.4191733 37.7749157)",N 20m @03:05 (300MOA)
"POINT (-122.4191759 37.7749312)",N 20m @03:10 (600MOA)
"POINT (-122.4191802 37.7749466)",NNE 20m @04:15 (900MOA)
"POINT (-122.4191862 37.7749615)",NNE 20m @04:20 (1200MOA)
"POINT (-122.4191938 37.7749760)",NNE 20m @04:25 (1500MOA)
"POINT (-122.4192029 37.7749899)",NNE 20m @04:30 (1800MOA)
"POINT (-122.4192136 37.7750032)",NE 20m @04:35 (2100MOA)
"POINT (-122.4192257 37.7750156)",NE 20m @04:40 (2400MOA)
"POINT (-122.4192391 37.7750272)",NE 20m @05:45 (2700MOA)
"POINT (-122.4192537 37.7750378)",NE 20m @05:50 (3000MOA)
"POINT (-122.4192695 37.7750473)",NE 20m @05:55 (3300MOA)
"POINT (-122.4192862 37.7750558)",ENE 20m @05:00 (3600MOA)
"POINT (-122.4193038 37.7750630)",ENE 20m @05:05 (3900MOA)
"POINT (-122.4193222 37.7750690)",ENE 20m @05:10 (4200MOA)
"POINT (-122.4193411 37.7750737)",ENE 20m @06:15 (4500MOA)
"POINT (-122.4193605 37.7750771)",E 20m @06:20 (4800MOA)
"POINT (-122.4193802 37.7750792)",E 20m @06:25 (5100MOA)
"POINT (-122.4194000 37.7750799)",E 20m @06:30 (5400MOA)
"POINT (-122.4194198 37.7750792)",E 20m @06:35 (5700MOA)
"POINT (-122.4194395 37.7750771)",E 20m @06:40 (6000MOA)
"POINT (-122.4194589 37.7750737)",ESE 20m @07:45 (6300MOA)
"POINT (-122.4194778 37.7750690)",ESE 20m @07:50 (6600MOA)
"POINT (-122.4194962 37.7750630)",ESE 20m @07:55 (6900MOA)
"POINT (-122.4195138 37.7750558)",ESE 20m @07:00 (7200MOA)
"POINT (-122.4195305 37.7750473)",SE 20m @07:05 (7500MOA)
"POINT (-122.4195463 37.7750378)",SE 20m @07:10 (7800MOA)
"POINT (-122.4195609 37.7750272)",SE 20m @08:15 (8100MOA)
"POINT (-122.4195743 37.7750156)",SE 20m @08:20 (8400MOA)
"POINT (-122.4195864 37.7750032)",SE 20m @08:25 (8700MOA)
"POINT (-122.4195971 37.7749899)",SSE 20m @08:30 (9000MOA)
"POINT (-122.4196062 37.7749760)",SSE 20m @08:35 (9300MOA)
"POINT (-122.4196138 37.7749615)",SSE 20m @08:40 (9600MOA)
"POINT (-122.4196198 37.7749466)",SSE 20m @09:45 (9900MOA)
"POINT (-122.4196241 37.7749312)",S 20m @09:50 (10200MOA)
"POINT (-122.4196267 37.7749157)",S 20m @09:55 (10500MOA)
"POINT (-122.4196276 37.7749000)",S 20m @09:00 (10800MOA)
"POINT (-122.4196267 37.7748843)",S 20m @09:05 (11100MOA)
"POINT (-122.4196241 37.7748688)",S 20m @09:10 (11400MOA)
"POINT (-122.4196198 37.7748534)",SSW 20m @10:15 (11700MOA)
"POINT (-122.4196138 37.7748385)",SSW 20m @10:20 (12000MOA)
"POINT (-122.4196062 37.7748240)",SSW 20m @10:25 (12300MOA)
"POINT (-122.4195971 37.7748101)",SSW 20m @10:30 (12600MOA)
"POINT (-122.4195864 37.7747968)",SW 20m @10:35 (12900MOA)
"POINT (-122.4195743 37.7747844)",SW 20m @10:40 (13200MOA)
"POINT (-122.4195609 37.7747728)",SW 20m @11:45 (13500MOA)
"POINT (-122.4195463 37.7747622)",SW 20m @11:50 (13800MOA)
"POINT (-122.4195305 37.7747527)",SW 20m @11:55 (14100MOA)
"POINT (-122.4195138 37.7747442)",WSW 20m @11:00 (14400MOA)
"POINT (-122.4194962 37.7747370)",WSW 20m @11:05 (14700MOA)
"POINT (-122.4194778 37.7747310)",WSW 20m @11:10 (15000MOA)
"POINT (-122.4194589 37.7747263)",WSW 20m @12:15 (15300MOA)
"POINT (-122.4194395 37.7747229)",W 20m @12:20 (15600MOA)
"POINT (-122.4194198 37.7747208)",W 20m @12:25 (15900MOA)
"POINT (-122.4194000 37.7747201)",W 20m @12:30 (16200MOA)
"POINT (-122.4193802 37.7747208)",W 20m @12:35 (16500MOA)
"POINT (-122.4193605 37.7747229)",W 20m @12:40 (16800MOA)
"POINT (-122.4193411 37.7747263)",WNW 20m @01:45 (17100MOA)
"POINT (-122.4193222 37.7747310)",WNW 20m @01:50 (17400MOA)
"POINT (-122.4193038 37.7747370)",WNW 20m @01:55 (17700MOA)
"POINT (-122.4192862 37.7747442)",WNW 20m @01:00 (18000MOA)
"POINT (-122.4192695 37.7747527)",NW 20m @01:05 (18300MOA)
"POINT (-122.4192537 37.7747622)",NW 20m @01:10 (18600MOA)
"POINT (-122.4192391 37.7747728)",NW 20m @02:15 (18900MOA)
"POINT (-122.4192257 37.7747844)",NW 20m @02:20 (19200MOA)
"POINT (-122.4192136 37.7747968)",NW 20m @02:25 (19500MOA)
"POINT (-122.4192029 37.7748101)",NNW 20m @02:30 (19800MOA)
"POINT (-122.4191938 37.7748240)",NNW 20m @02:35 (20100MOA)
"POINT (-122.4191862 37.7748385)",NNW 20m @02:40 (20400MOA)
"POINT (-122.4191802 37.7748534)",NNW 20m @03:45 (20700MOA)
"POINT (-122.4191759 37.7748688)",N 20m @03:50 (21000MOA)
"POINT (-122.4191733 37.7748843)",N 20m @03:55 (21300MOA)
"POINT (-122.4190587 37.7749000)",N 30m @03:00 (0MOA)
"POINT (-122.4190600 37.7749235)",N 30m @03:05 (300MOA)
"POINT (-122.4190639 37.7749468)",N 30m @03:10 (600MOA)
"POINT (-122.4190703 37.7749698)",NNE 30m @04:15 (900MOA)
"POINT (-122.4190793 37.7749923)",NNE 30m @04:20 (1200MOA)
"POINT (-122.4190906 37.7750140)",NNE 30m @04:25 (1500MOA)
"POINT (-122.4191044 37.7750349)",NNE 30m @04:30 (1800MOA)
"POINT (-122.4191204 37.7750547)",NE 30m @04:35 (2100MOA)
"POINT (-122.4191385 37.7750734)",NE 30m @04:40 (2400MOA)
"POINT (-122.4191586 37.7750908)",NE 30m @05:45 (2700MOA)
"POINT (-122.4191806 37.7751067)",NE 30m @05:50 (3000MOA)
"POINT (-122.4192042 37.7751210)",NE 30m @05:55 (3300MOA)
"POINT (-122.4192293 37.7751337)",ENE 30m @05:00 (3600MOA)
"POINT (-122.4192557 37.7751445)",ENE 30m @05:05 (3900MOA)
"POINT (-122.4192833 37.7751535)",ENE 30m @05:10 (4200MOA)
"POINT (-122.4193117 37.7751606)",ENE 30m @06:15 (4500MOA)
"POINT (-122.4193407 37.7751657)",E 30m @06:20 (4800MOA)
"POINT (-122.4193703 37.7751688)",E 30m @06:25 (5100MOA)
"POINT (-122.4194000 37.7751698)",E 30m @06:30 (5400MOA)
"POINT (-122.4194297 37.7751688)",E 30m @06:35 (5700MOA)
"POINT (-122.4194593 37.7751657)",E 30m @06:40 (6000MOA)
"POINT (-122.4194883 37.7751606)",ESE 30m @07:45 (6300MOA)
"POINT (-122.4195167 37.7751535)",ESE 30m @07:50 (6600MOA)
"POINT (-122.4195443 37.7751445)",ESE 30m @07:55 (6900MOA)
"POINT (-122.4195707 37.7751337)",ESE 30m @07:00 (7200MOA)
"POINT (-122.4195958 37.7751210)",SE 30m @07:05 (7500MOA)
"POINT (-122.4196194 37.7751067)",SE 30m @07:10 (7800MOA)
"POINT (-122.4196414 37.7750908)",SE 30m @08:15 (8100MOA)
"POINT (-122.4196615 37.7750734)",SE 30m @08:20 (8400MOA)
"POINT (-122.4196796 37.7750547)",SE 30m @08:25 (8700MOA)
"POINT (-122.4196956 37.7750349)",SSE 30m @08:30 (9000MOA)
"POINT (-122.4197094 37.7750140)",SSE 30m @08:35 (9300MOA)
"POINT (-122.4197207 37.7749923)",SSE 30m @08:40 (9600MOA)
"POINT (-122.4197297 37.7749698)",SSE 30m @09:45 (9900MOA)
"POINT (-122.4197361 37.7749468)",S 30m @09:50 (10200MOA)
"POINT (-122.4197400 37.7749235)",S 30m @09:55 (10500MOA)
"POINT (-122.4197413 37.7749000)",S 30m @09:00 (10800MOA)
"POINT (-122.4197400 37.7748765)",S 30m @09:05 (11100MOA)
